,title,tag,location,description,img,image_count,pid,url
0,2022수능 수험생 이벤트 노트북  LG그램16,"노트북,중고노트북,게임노트북,그램,수험생할인",인천광역시 남동구 만수4동,"2022 수능 수험생 여러분 고생하셨습니다
2022년  수능 수험 표  인증하시면
그램16 구입하시는 수험생에겐  

▶ SSD  256GB 무료추가
▶ 5만원 할인

둘중 1가지 선택 해서 적용해 드립니다

◆ 적용제품(제품 세부 사양은 판매상품 참조)
     ▶ 16Z90P-GP50ML 
          (i5  8GB  256GB)
     ▶ 16Z90P-GP5EL   
          (i5 16GB  256GB)
     ▶ 16Z90P-GP70ML
          (i7 16GB  256GB)

전제품 윈도우10정품 내장, 무상서비스1년


",https://media.bunjang.co.kr/product/170628386_{cnt}_1637576389_w{res}.jpg,6,170628386,https://m.bunjang.co.kr/products/170628386
1,M1 맥북에어 CTO 16GB 256GB 골드 풀박스,"맥북에어,m1맥북에어,m1,맥북",서울특별시 종로구 혜화동,"M1 맥북에어 CTO 16GB 256GB 골드 풀박스

사용을 많이 안해서 상태 좋습니다

사진과 같이 상판 테두리에 미세한 사용감 한곳 있습니다

무상 보증기간 2022년 3월 12일까지 남아있습니다

배터리 100% 사이클 22 입니다

박스와 구성품 전부 있습니다



번개페이 안전결제 환영합니다

따로 연락안주셔도 바로 신청하시면 됩니다



서울 혜화, 서울 잠실, 경기도 하남 직거래 가능합니다

가까운 지역이시고 시간만 맞는다면 직접 가져다드립니다

죄송하지만 가격절충은 사양합니다

오늘도 좋은하루 되세요~!",https://media.bunjang.co.kr/product/170714207_{cnt}_1637584089_w{res}.jpg,12,170714207,https://m.bunjang.co.kr/products/170714207
2,델i7노트북팝니다,"델노트북,i7,게임용",인천광역시 남동구 만수5동,내용은 사진참조요,https://media.bunjang.co.kr/product/170714168_{cnt}_1637584072_w{res}.jpg,12,170714168,https://m.bunjang.co.kr/products/170714168
3,[미개봉] LG전자 노트북 2021 그램16 16Z90P-GP5EL,"노트북,중고노트북,그램,gram,미개봉노트북",인천광역시 남동구 만수4동,"★ 번개패이 이용해서 카드결제 가능합니다~~~^^
★ 다량 입고 되어서 저렴하게  판매 합니다~~~^^
★ 수량  네고 가능 합니다~~~^^
★ 우체국 안심소포 로 보내드립니다~~~^^

■ LG전자 2021그램16 16Z90P-GP5EL 스펙
    ◆ 운영체제 : Windows 10 Pro
    ◆ 화면크기 16인치(40.6 cm)
    ◆ CPU : i5-1135G7
    ◆ RAM : 16GB LPDDR4x(온보드 )
    ◆ SSD : 256GB M.2(NVMe)(추가슬롯)
    ◆ 해상도 : WQXGA(2560x1600)
    ◆ 지문인식 / 키보드라이트
    ◆ Iris Xe Graphics
    ◆ 무게 : 1.19kg
    ◆ 색상 : 스노우 화이트

■ 제품정보
    ◆ 윈도우10 프로 정품 내장(리커버리 기능)
    ◆ 최신인텔 i5-11 세대 타이거레이크 탑재 
    ◆ 초고속 16GB 메모리와 256GB SSD 탑재
    ◆ 지문인식 파워 버튼
    ◆ SSD 확장슬롯 가능
    ◆ 고용량 초고속 UFS 카드슬롯 탑재 
    ◆ 강력하고 빠른하나의포트 썬더볼트

★기업 특판용(B2B) 제품 입니다
    (16Z90P-GA5IK  동일제품)
★ 미개봉 새상품 입니다
★ 1년 LG전자 무상서비스(구매시점)
★ 윈도우10 정품 설치로  바로 사용가능
★ LG리커버리기능 탑재로 초기화 작업 용이
★ 한컴오피스2020,MS오피스2019 무료설치
★ SSD 256GB 추가장착시 6만원(삼성,SK)
★ 가방 , 키스킨 , 유무선마우스 
    (무선마우스, 고급파우치  증정/색상렌덤)

★ 특장점및 세부사양
https://m.smartstore.naver.com/kss1486/products/5869632997?NaPm=ct%3Dkv0elmkw%7Cci%3D811c397f37a9f9e9352e3b1383b5d4e6c90d5c14%7Ctr%3Dsls%7Csn%3D9***-****-****e8

http://naver.me/F0KxOJn6

",https://media.bunjang.co.kr/product/166453553_{cnt}_1636360072_w{res}.jpg,11,166453553,https://m.bunjang.co.kr/products/166453553
4,LG A515_i5 2410m 노트북 판매합니다.,노트북,서울특별시 강서구 화곡동,"LG A515_i5 2410m 노트북 판매합니다.

윈도우는 새로 설치했습니다.

다른 장치들도 정상작동 합니다.(테스트완료).

내,외관 깨끗한 편 입니다.(생활기스있음/사진참조)
-------------------------------------------------------------
i5-2410m
4G
SSD 120G
GT520m
15.6""

배터리 윈도우상에 2시간 정도 갑니다.


구성품 : 노트북 + 어댑터


판매가 : 160,000원
-----------------------------------------------
문의전화 : ***-****-**** 한재경
서울 강서구 화곡동",https://media.bunjang.co.kr/product/170714073_{cnt}_1637584029_w{res}.jpg,6,170714073,https://m.bunjang.co.kr/products/170714073
5,아수스 게이밍노트북 G731GT-H7147 (A+급) ,"아수스게이밍노트북,아수스,게이밍노트북,가성비노트북,가성비",경기도 화성시 동탄5동,"번개장터 시장 최저가 입니다!🧑🏻‍💻

ASUS ROG G731GT-H7147
아수스 게이밍 노트북

최신게임 구동 완벽 호환
17.3인치 FHD	
NVIDIA GeForce GTX 1650
램 8GB / SSD 512GB

윈10 정품 설치되어있습니다!💻

구성품 : 충전기

하자 X 생활기스 O (매우 미세함 거의 새상품급)
중고 특성상 변심으로 인한 반품은 불가합니다.

직거래는 동탄역, 강남역 가능합니다!😃😀",https://media.bunjang.co.kr/product/169431914_{cnt}_1636692985_w{res}.jpg,7,169431914,https://m.bunjang.co.kr/products/169431914
6, [특가]최고사양급 게이밍 노트북 TUF(RTX3060),"노트북,msi,아수스,레노버,tuf",서울특별시 중구 신당동,"빨리 팔려고 가장 최저가 수준으로 올렸습니다.
네고하실분들은 뒤로가기 눌러주세요^^
————————————————————
● 특징
• 최저가 164만원 파는 제품(램 업글+윈10 정품)
• 2021년 신제품(대부분 게임 풀옵 가능)
• 15.6인치 FHD 광시야각 디스플레이
• 인텔 i5-11300H 최고사양급 CPU 탑재
• 지포스 RTX3060 외장그래픽 탑재
• 램 8GB->16GB로 업그레이드
• 512GB SSD
• DTS 서라운드 오디오 탑재 웅장한 사운드
• 슬림베젤, 300nit 밝기, sRGB 100%
• 주사율 240Hz로 끊김없는 게이밍
• 레이트레이싱 기술 탑재 실사그래픽 구현
• 4개 히트싱크와 5개 히트하이프로 발열제어
• RGB 백라이트 키보드, PD충전가능
• 미 국방성 MIL-STD 통과 극강의 내구성
• USB-C, USB 4.0, 유선랜, 썬더볼트, HDMI, WIFI
• 두께 19mm, 무게 2kg 슬림&경량

● 모델명
• ASUS TUF FX516PM-CP078(그레이)
• 자세한 제품사양은 사진에 첨부

● 상태
• 제조일 : 2021.09월
• 무상수리기간 : 2022년 9월까지 가능
• 하자여부 : 새제품(개봉후 필수프로그램만 설치)
• 설치프로그램 : 윈10 정품/MS&한컴오피스
• 구성품 : 풀박스&게이밍 마우스&충전기
• 추가프로그램 요청시 설치해드립니다(게임제외)
————————————————————
● 안내
• 하자유무 테스트 후 올립니다!!
• 중고 특성상 변심으로 인한 반품은 불가합니다!!

● 거래방법 
• 직거래 : 강남 용산 동대문 종로 이태원 가능
• 택배 : 깨지지않게 특수포장후 발송
",https://media.bunjang.co.kr/product/170713974_{cnt}_1637583975_w{res}.jpg,7,170713974,https://m.bunjang.co.kr/products/170713974
7,MSI/i7/GTX960/SSD256/HDD1T/포토샵/게임/<175>,"MSI노트북,게이밍노트북,노트북,일산게이밍노트북,GTX960M",경기도 고양시 일산동구 정발산동,"👍🏻 중고노트북 전문 판매상점  테크몰 👍🏻
☑️믿음과 신용 💯 으로 노트북을 판매하고 있습니다. 
☑️실제 매장에 판매되는 제품만 올립니다.
☑️사용 목적에 맞는 노트북 상담 후 구매 가능합니다.
 0️⃣1️⃣0️⃣ - 3️⃣7️⃣8️⃣9️⃣ - 3️⃣8️⃣1️⃣4️⃣

 🚚  택배비 무료 
 테크몰 상점의 다양한 제품보기  
☑️https://stuv4.app.goo.gl/C4udf 

◐제품사양◑ NO. 175
1️⃣   C P U : Intel  i7-5700HQ
2️⃣   R A M: 8 G (16G 변경가능)
3️⃣   S S D : 256 G (부팅속도 UP⬆️⬆️)
4️⃣   화  면 : 15.6인치
5️⃣   그래픽 : Geforce GTX 960M
6️⃣   H D D : 1T

☑️ 운영체제: 윈도우 10 (영구사용가능)
               실제정품시리얼-윈도우 모든 업데이트 가능 
☑️ 기 타:
     MS오피스(엑셀,워드,파워포인트),한글(영구사용)
☑️ A/S 기간이후 제품 이상이 발생하여도 
      공임비 없이 수리해드리겠습니다.
☑️ 설치원하는 프로그램은 문의 주세요
      포토샵,일러스트,프리미어프로,오토캐드
☑️ 구매후 윈도우 및 소프트웨어 평생 무료 재설치
☑️ 택배거래 가능하며 안전포장 후 당일발송을 
     원칙으로 입금확인 후 발송되며 송장 첨부해 
     드립니다.
☑️ A/S는 무상90일 보장 되며(고객과실제외),
      구매후 기능상 문제가 있을 경우,                     
      100% 환불 또는 교환 조치해드립니다.  
☑️ 코로나19로 인해 알콜소독후 출고됩니다. 
  
🎁  구성품  🎁
1. 노트북 본체
2. 노트북 전용 아답터
3. 유선 마우스<신품>
4. 마우스 패드<신품>
☑️ 구매후기 약속시 무선마우스로 변경출고
      구매전 미리 말씀해주세요

📌  거래방법  📌
 번개페이/직거래 모두 가능합니다.
 직거래 주소는  
 매장: 경기도 고양시 일산동구 중앙로 1275번길 60-17
          트루엘파크스테이 4층 419호<주차완비>

🔝 고객만족을 위해 최선을 다하는 테크몰이 되겠습니다. 🔝",https://media.bunjang.co.kr/product/170164372_{cnt}_1637125051_w{res}.jpg,10,170164372,https://m.bunjang.co.kr/products/170164372
8, [특가]아수스 게이밍 노트북 제피러스(GTX1660Ti),"노트북,msi,아수스,레노버,tuf",서울특별시 중구 신당동,"빨리 팔려고 가장 최저가 수준으로 올렸습니다.
네고하실분들은 뒤로가기 눌러주세요^^
————————————————————
● 특징
• 최저가 140만원에 팔던 모델(윈10 정품 포함)
• 원탑 경량형 게이밍 노트북&아수스 최고급 라인
• 15.6인치 FHD 광시야각 디스플레이
• AMD 라이젠 3750H 고사양 CPU 탑재
• 지포스 GTX1660Ti 외장그래픽 탑재(MAX-Q)
• 16GB 램, SSD 512GB
• 스마트앰프 오디오 탑재 웅장한 사운드
• 슬림베젤, 120Hz 주사율로 끊김없는 게이밍
• 듀얼 쿨링팬으로 최적의 냉각성능 발휘
• 76W 대용량 배터리, 백라이트 키보드
• USB-C, USB 3.0, HDMI, 유선랜, WIFI
• 두께 20mm, 무게 2.2kg 슬림&경량

● 모델명
• ASUS 제피러스 G15 GA502DU-AL025(블랙)
• 자세한 제품사양은 사진에 첨부

● 상태
• 제조일 : 2019.12월
• 하자여부 : 없음(신품급 상태)
• 기스없고 배터리 잔여율 77%(78일 사용)
• 설치프로그램 : 윈10 정품/MS&한컴오피스
• 구성품 : 풀박스&게이밍 마우스&충전기
• 추가프로그램 요청시 설치해드립니다(게임제외)
————————————————————
● 안내
• 하자유무 테스트 후 올립니다!!
• 중고 특성상 변심으로 인한 반품은 불가합니다!!

● 거래방법 
• 직거래 : 강남 용산 동대문 종로 이태원 가능
• 택배 : 깨지지않게 특수포장후 발송
",https://media.bunjang.co.kr/product/170713922_{cnt}_1637583951_w{res}.jpg,7,170713922,https://m.bunjang.co.kr/products/170713922
9,맥북에어 m1 256기가,"맥북에어m1,맥북,애플,노트북",부산광역시 영도구 동삼제2동,"2020 맥북에어 m1 스페이스그레이
256gb
8gb

구매날짜:10/30
사용횟수:1회
사이클:1회
성능:100%

검색용으로 1회 쓰고 안 썼습니다.
아직 충전도 한 번도 안 한 거의 새상품입니다.
박스랑 충전기 다 있어요.",https://media.bunjang.co.kr/product/170713920_{cnt}_1637583951_w{res}.jpg,2,170713920,https://m.bunjang.co.kr/products/170713920
