,title,tag,location,description,img,image_count,pid,url
0,LG건조기 9kg,"lg건조기9kg,빨래건조기,의류건조기,lg건조기",서울특별시 성동구 왕십리도선동,"고장 없고 상태 좋아요
다만 더 큰건조기로 바꾸려고 판매합니다
9kg. 
",https://media.bunjang.co.kr/product/170099023_{cnt}_1637059869_w{res}.jpg,5,170099023,https://m.bunjang.co.kr/products/170099023
1,"전자on.H리퍼가전(냉장고,세탁기,건조기,김치냉장고,에어컨,티비등)","냉장고,세탁기,건조기,에어컨,김치냉장고",경기도 남양주시 호평동,"문의: ***-****-****

리퍼매장입니다
전자on.H

가전매입 ,수거, 수리 , 판매 합니다
""리퍼브 가전"" 문의전화 0.1.0- 7 .3. 8. 2-1 .9 .6 .3
---------------
• 리퍼브/미개봉 가전제품 판매,  에어컨철거,설치,
AS,드럼세탁기베어링수리 합니다.
---------------
고민마시고  문의주시면,
성심 성의껏 도움드리도록 노력하겠습니다.
감사합니다",https://media.bunjang.co.kr/product/166088050_{cnt}_1636699166_w{res}.jpg,9,166088050,https://m.bunjang.co.kr/products/166088050
2,엔유씨 원액기90%새상품6회사용,원액기,울산광역시 중구 병영1동,"사놓고 거의사용안한 제품입니다
받침대2개 책자 솔 모두드립니다",https://media.bunjang.co.kr/product/170711116_{cnt}_1637582573_w{res}.jpg,2,170711116,https://m.bunjang.co.kr/products/170711116
3,새거같은 중고 양문냉장고 세탁기 냉난방 에어컨 무료배송,"중고냉장고,냉난방,중고세탁기,건조기,양문냉장고",경기도 남양주시 진건읍,"삼성 지펠,엘지 디오스 위니아딤채등 양문형냉장고,일반냉장고,통돌이,드럼세탁기, 김치냉장고 에어컨 냉난방기 전종목 제품취급 합니다 빠른서비스와 배송 해드립니다
##전화로상담부탁드립니다##
O1O 9O66 O34O
원하시는 금액대 연식 제조사 용량 색상 디자인 등등
말씀하시면 직촬사진 보내드리고 제품구매 도와드리겠습니다
대부분 제품가는 20만원에서 60만원이하입니다
O1O 9O66 O34O

냉장고를 구매하셔야 되는데 많이 고민되시죠?

☆☆고객분들 상담시 많이 물어보시는말!!☆☆


1. 여기 (000) 지역인데 무료배송되나요?
♧안내: 네 당연히 무료배송 입니다^^
(서울,경기지역만/,그외지방 다른지역 전화상담요망)


2.A/S기간은 어떻게되나요? 
♧안내: 6개월 서비스 됩니다^^


3.A/S기간 지나고 차후에도 서비스가되나요?
♧안내: 네 됩니다^^ 저희는 중고자재로 또는 재생자재로 수리를 하기때문에 최소만원부터 최대비용10만원 까지만 발생됩니다^^


4.지금 쓰고있는거 가져가시나요?
♧안내: 네^^ 수거합니다.저희는 많이모아놧다가 수거한 전제품 폐기처분합니다^^ 걱정마세요!


※환불/교환규정 안내드립니다.

고객변심은 계약금환불이 되지않습니다.
신중한구매,신중한 선택 부탁드립니다.


제품 보증기간3개월이내 A/S 3번 발생시 이유불문하고 환불해드립니다.

심하게 파손됬을시 교환이 이루어집니다.
동일제품 없을시 동급제품으로 교환됩니다.
(고객분께 사진안내 드립니다^^)

&&&보신제품과틀릴시 환불 또는 교환이 가능합니다.
O1O 9O66 O34O
",https://media.bunjang.co.kr/product/168396916_{cnt}_1635504298_w{res}.jpg,12,168396916,https://m.bunjang.co.kr/products/168396916
4,LG컨버터블 냉장고 382L 2018년 상태 특A급,"냉장고,세탁기,컨버터블냉장고,메탈냉장고,일문형냉장고",경기도 고양시 일산동구 식사동,"☆ LG컨버터블 원도어 냉장고/일산중고가전 할인마트
연식 - 2018년
용량 - 382L
사이즈 - 폭595 X 깊이673 X 높이1850
리니어컴프레서 10년무상보증
에너지효율 1등급
원도어 냉장고로 전체가 냉장실이고 흠집 거의 없는 특A급 상태
판매가격 60만원

빠른문의  OIO 994I 2297

뚜거몰의 모든 제품은 가정에서 1:1로 상태좋은 제품만 엄선해서 매입한 제품으로 꼼꼼히 체크하고 테스트를 거쳐  상태 확실한 제품만 자신있게 판매하고 있기에 연식과 상태를 확실히 알려드립니다.
고장난 제품 수리해서 판매하는 그런 제품들이 아닙니다.

구입후 3개월 A/S 책임보장 되며 보장기간내 이상 있을땐
저희 뚜거몰에 먼저 연락주시고 제조사 정식A/S 받으시면
비용 일체를 뚜거몰에서 처리해 드립니다.

제품 최적화 상태의 배송을 원칙으로 화물이나 택배 배송을 하지않고 전문 기사님이 직접 제품을 배송 설치해 드립니다.

※ 배송가능지역 / 서울.경기
60만원 이상 구입시 무료배송
이하 금액은 배송 설치비 있습니다.
지방은 협의하에 배송 가능합니다.
계단 작업시 도움 주실분 계셔야 합니다.
엘리베이터 없는 2층이상은 사다리차 비용 별도 입니다.

배송관련 및 제품에 대한 궁금한 상항은 댓글로 물어보시면 바로 확인이 어려우니 전화나 문자로 하시면 보다 빠른 답변 드리겠습니다.^^",https://media.bunjang.co.kr/product/170243190_{cnt}_1637187793_w{res}.jpg,7,170243190,https://m.bunjang.co.kr/products/170243190
5,엘지 30평 스탠드 에어컨 냉방전용,"에어컨,냉난방기,엘지,삼성,캐리어",서울특별시 성동구 사근동,"중고로 구매해서 연식은 안써있네요
사무실 이전으로 판매합니다
실외기 포함이며 철거해서 보관중입니다
아주 잘작동해요",https://media.bunjang.co.kr/product/169495351_{cnt}_1636521277_w{res}.jpg,1,169495351,https://m.bunjang.co.kr/products/169495351
6,삼성 8평 벽걸이 에어컨33,"에어컨,삼성,엘지,캐리어,벽걸이",서울특별시 성동구 사근동,"작년에 중고로 구매했고
연식은 안써있어서 모르겠는데
시원하게 잘나옵니다

사용감은 많은 편이고
옆하고 뚜껑쪽에
깨진곳이 좀 있는데
사용상에는 이상이 없습니다",https://media.bunjang.co.kr/product/164022551_{cnt}_1632824800_w{res}.jpg,2,164022551,https://m.bunjang.co.kr/products/164022551
7,업소용 상가용 냉난방 에어컨 스탠드 벽걸이 천정형  평수다양,"업소용,인버터,냉난방,냉온풍",경기도 남양주시 진건읍,"남양주 진건입니다
O1O 9O66 O34O 
톡이나 문자X 반드시통화O
작은가게 큰업소 중대형 냉난방기 판매합니다
설치비는 별도입니다
천정형 스탠드 벽걸이 평수 다양합니다
수도권은 무료배송해드립니다
설치비 및 제품 상담은 전화통화부탁드립니다
꼭~꼭 전화로 상담부탁드립니다
O1O 9O66 O34O",https://media.bunjang.co.kr/product/167150867_{cnt}_1634604491_w{res}.jpg,12,167150867,https://m.bunjang.co.kr/products/167150867
8,삼성 12평 스탠드 에어컨3,"에어컨,삼성,엘지,캐리어",서울특별시 성동구 사근동,"연식은 안써있어서 잘모르겠습니다
정상작동하며 시원하게 바람 잘 나옵니다",https://media.bunjang.co.kr/product/164028101_{cnt}_1636698544_w{res}.jpg,2,164028101,https://m.bunjang.co.kr/products/164028101
9,엘지 15평 스탠드 에어컨,"캐리어,에어컨,엘지,삼성",서울특별시 성동구 사근동,"연식은 안써있어서 잘모르겠습니다
정상작동하며 시원하게 바람 잘 나옵니다
실외기포함입니다",https://media.bunjang.co.kr/product/170102588_{cnt}_1637061745_w{res}.jpg,1,170102588,https://m.bunjang.co.kr/products/170102588
